"RNA.1","RNA.2","RNA.3","RNA.4","RNA.5","RNA.6","RNA.7","RNA.8","RNA.9","RNA.10","RNA.11","RNA.12","RNA.13","RNA.14","RNA.15","RNA.16","RNA.17","RNA.18","RNA.19","RNA.20","RNA.21","RNA.22","RNA.23","RNA.24","RNA.25","RNA.26","RNA.27","RNA.28","RNA.29","RNA.30","PROT.1","PROT.2","PROT.3","PROT.4","PROT.5","PROT.6","PROT.7","PROT.8","PROT.9","PROT.10","PROT.11","PROT.12","PROT.13","PROT.14","PROT.15","PROT.16","PROT.17","PROT.18","PROT.19","PROT.20","PROT.21","PROT.22","PROT.23","PROT.24","PROT.25","PROT.26","PROT.27","PROT.28","PROT.29","PROT.30"
0.0139265603533607,0.00174887653684801,0.000700576713545135,0.0146222323940664,0,0,0.00833014209478937,0,0,0,0.00320918804496119,0.00137215446475267,0,0,0,0.00177065838686316,0.00475326743408182,0.0340370562351859,0.00688584256213478,0.00890392351670152,0.0510547208112338,0.00665428301672972,0.00593002901755218,0.00494008195612617,0,0,2.134163495112e-05,0.00224984477453835,0.00287053257267606,0,0.000587846532267577,0.001130690992073,0.00753076431031148,0.00569185403323815,5.98309991925877e-05,0.00211565551652767,0.00536301306903757,0.00293747697311324,0.000234644365889539,0.00220695432861458,0.00572386671771974,0.000622900578199072,0,0.00762486796129532,0.0073806340971079,0.0056855751471205,0.00193765495759353,0,0,0.00225409740454211,0.00628834789045196,0.0014144377846528,0.0112374489246932,0.0127115716544844,0.00324645042862196,0.00223513574198685,0.0312227548294884,0.00517743907316573,0.00354750193083855,0.0150532030390766
0.0122278274890844,0.00158018623952686,0,0.0556917862786856,0.00104383577144258,0,0.0133874877319503,0,0,0.027256980810727,0.00102405534807006,0.0127679406311339,0.00198188434291785,0,0,0,0.00582109841126602,0,0.00408869022617441,0.000413978922673029,0,0.00648173590527266,0.000699131975905955,0.00248862799666327,0,0.00312662224081987,0,0,0,0,0,0.00297978075192258,0.00670990269243172,0.00155716441648134,0,0.00411831480337523,0.0035047890688279,0.00295843995671267,0,0,0.00501193309777809,0.000750636527732139,0.00217191908506363,0.00660323925866078,0.00772873233340752,0.00512216883134539,0.00301974816920655,0,0,0.00177447402359264,0.0118701518112952,0.00142742914876133,0.00940061182069039,0.0144706373090529,0.00301536315915995,0.00354834361125171,0.0312762167008202,0.0054365696431889,0.00258029665094561,0.0127415190758736
0,0.000433316069743049,0,0.0646379842411649,0,0.00263233135684514,0.00980023630179327,0.003432590978054,0.00285784058789741,0.0240292463484398,0,0,0.000617146902460307,0.00246490093528944,0,0,0.0104893184449437,0.00494118389495461,0.00560801264855291,0.00687249627692071,0,0.000234875361583139,0.00386719526021283,0.00248583863552026,0.00980923512177039,0,0,0,0.00872094752363694,0,0.000979746546667718,0.000949875180679228,0.00676713646174931,0.00633529571881107,0.00289568512964285,0.000842724671857572,0.0107916994056245,0.00276731256582274,0.000574391816461781,0,0.00678130673228304,0.000525488231137296,0,0.00797511230303737,0.00573033706681822,0.00442751708041301,0.00152992780611282,0.00393570863499256,0,0.00119975951317586,0.00685563123310969,0.000441554539263469,0.0121851474614067,0.0125329803747788,0,0.00523071783879522,0.0312585990996444,0.00151303878475767,0,0.0101357180720736
0,0,0,0,0,0,0.264342389974285,0.00543710442806017,0,0.00131729409669169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00225004899242073,0,0,0,0.00396495327786328,0.000397966873404631,0,0.00844598139039759,0.00349073447039046,3.9709194800075e-05,0.00321817793132422,0.00512421184638696,0.00330144776142371,0,0,0.00687955155012431,0.000605231317925281,0.00310413697212773,0.00581272515792221,0.00784081886298904,0.00491471998861237,0.00300774910553503,0.00128955334579635,0.00290350474606897,0.00207841440772505,0.00937355344017093,0.000493867068143105,0.01258798199556,0.0122215815909157,0.000102358416974262,0.00493716412804996,0.03112948824477,0.00379195649192474,0.00196311366774519,0.0118473435822147
0.00567991717827606,0.003621673239268,0,0.0881736014542806,0.00110698046323783,0,0.0618142833895876,0,0,0,0,0.000471503039779213,0.000731702199865027,0.0030329442499009,0.00251569846216634,0.00177645670575767,0.00770101415455652,0.00998248664797457,0.00859538129138583,0.00166039943104609,0.0185061920364179,0.00621526522557056,0.00292930409176262,0.00422666592278684,0,0.000891435705828886,4.60194346019875e-05,0,0,0.00171502538582525,0.00263012636934532,0.00223008718534961,0.00832110364184264,0,0.000560891530404796,0.00171403456299976,0,0,0.00417282831366984,0.0122875967806681,0.00546964996190242,0.000555810729358445,0.00478517639633241,0.00940685503207698,0.00760993654392523,0.00489553984168473,0,0,0.000160075910039657,0.000959844246449521,0.0100488854250778,0.00110161877640402,0.00890335268079565,0.0172818239281983,0.00589364610036951,0,0.0287553970308467,0.00265641705345742,0.00138743318353629,0.0113509993216066
0.00436918354819361,0,0,0.113236700030132,0.00132475305922408,0.00038164868178852,0,0,0.00161254609064973,0.00629997201750975,0.00375475271130554,0.0027512906017163,0.000717234505968991,0.000617817775754765,0.00143204854102997,0,0,0.00471171361141041,0.00104948099268914,0.00053181046631333,0,0.0018772563340046,0.00250232338561404,0,0.000160232602480628,0.00345603402115631,9.71888422911481e-05,0.000508565852655852,0.00490746621949904,0,0,0.00134591987582326,0.00673225764294343,0,0,0.000724254625776971,0,0,0.00492194221538128,0.0104487239974322,0.0058745300671648,0.000767295232571324,0.00403927674161721,0.0105856272085735,0.00927209370317294,0.00458225420435004,0.00118386216045445,0.000208279533920799,0.00102453394495623,0.00123382606170133,0.0108720804363346,0.00141743665598937,0.00868293697153875,0.0162552408331204,0.00622202448397781,0,0.0299056976483044,0.00500422734341717,0.00440786932072885,0.011808890609134
0.000513222939765025,0.00121587710451913,0,0.0476568380652848,0.00621244196366986,0.00176049358344217,0.00722507913885704,0,0,0.0235518318610971,0,0.000765327330441959,0.00447666132380647,0,0.000965527200204078,0,0.021727678347322,0.000660681343660092,0.000685535913514481,0,0,0.000863669505783869,0,0.000191224305375164,0,0,0,7.52244249689865e-05,0.00441812498001687,0.000149266054323133,0.00103286341145219,0.0015243364606072,0.00666048250636384,0,0.00228778559522147,0,0.000324412825697681,0,0.00573520790415742,0.0121293976845694,0.00522793665641376,0.000649431163661831,0.00173644340935201,0.00996088380836952,0.00807425473990096,0.00652457352310213,0,0.00229511020412236,0.00154398635654699,0.00316032426625537,0.00636869718370812,0.000800756245299124,0.0104475789599246,0.0197205466298712,0.00196628914408062,0.00117266486875169,0.0301661456685287,0.00145108159816614,0,0.00778649891136101
0.000531731480136949,0.00143949256562281,0,0.136087393059078,0.0012055819578206,0.000540554481294829,0,0.00366474279664216,0.00237250698150266,0,0,0.00113696567637597,5.02830708320775e-05,0.00282828222595867,0,0.000840921825169674,0,0.00274483723633617,0.00414411804632952,0,0.000471932785445435,0.000321521524673376,0.00209205228072124,0.00135562543515716,0.00223041173824716,0,0.000187340381476525,0.000326339083196855,0,0.000723343991609425,0.00109956144373372,0,0.00803984419171644,0,0.000944597478095399,0,0.00136310272592288,0,0.00516014535613202,0.0121274001960351,0.00402159943934118,0.000534159594244217,0.00396410230055764,0.00845687192120055,0.00844158866270611,0.00483412185508413,0.000464244135318248,0.00309211398488322,0.00258841735270371,0.00123524203903583,0.0117450304382837,0.00168949804807685,0.00916830207062663,0.0185730305143071,0.0011750050260587,0,0.0290181722502936,0.00193373142833505,0.00433055200091667,0.00853441682372294
0,4.90135009452285e-05,0,0.144650810192691,9.70429792248454e-05,0.000338478447923464,0.0131732167458377,0,0.00814924130167232,0,0.00109199786299839,0.00152151632288068,0,0.00377446991516877,0,0.000802724619361536,0.00543477560868794,0.000865749938005209,0.00439607067220346,0.00296709874396548,0.00155661053138825,0,0.00302334480782822,0.000728517695867097,0.00311395793648524,0.00112452579626712,0,0.00393916999315939,0.000638617086743725,0,0.00113601003800544,0.000839889945092616,0.00666411136503498,0.00647274450259602,0.00103159254633462,0.00303006613066424,0.0111482175192097,0.00292292949324962,0,0,0.00851268176803607,0.000659484805525739,0,0.00629455956823776,0.00679043385000528,0.00399734754528063,0.00248996883894009,0,0,0.000651943951116817,0.0070963161167065,0,0.0120557504288184,0.0109670741112227,0.0032245111157284,0.00502999730968869,0.0306607551676014,0.00429150887069155,0.000884324322486889,0.0143410498139904
0,0,0,0.0516509501636113,0,0,0.0343356161581157,0.00186064056399337,0.0148437772602158,0.0167492685812638,0.00489717632756572,0,0,0,0,0,0.0266262656051496,0.000595609591005256,0.00362418178806859,0,0.019422632844397,0,0,0.0013138664525202,0.00270078352200627,0.000541790359514153,0,0.00213091978758668,0,0,0.0011077654220113,0.00282413316579616,0.00852153817863877,0.00539741373191431,0.000253883462483751,0.00265413609402629,0.0045693633604485,0.00283618844970033,0,0.00101347829663447,0.0057403335352109,0.000385023546603975,0.00317898097637636,0.00709647664196773,0.00822196176596418,0.00554205832274124,0.00215295235255584,0.000572152876721744,0.0014518917139536,0.000488040006480857,0.0109933236113404,0.000514534859221983,0.010492574449892,0.0110831571268447,0.0026592523107976,0.00389991999514489,0.0305941942106944,0.00242971836003577,0.0028151560486174,0.0123189050763979
